 13.27  0.00    0.00    0.00                 
 13.27  8.78 4232.56   -3.57 F2F2F2          
 20.04 19.23 1018.24   -5.85 F2              
 20.04 16.31 2195.84   -5.38 F2F2            
 20.04 10.61 3932.98   -4.65 F2F2F2          
 14.05 12.70 1365.29  -10.16 F2              
 14.05  8.69 3072.52   -9.66 F2F2            
 14.05  0.00    0.00    0.00                 
  0.00  0.00    0.00    0.00 E               
  0.00  8.69 3072.52   -9.66 F2F2            
  0.00  0.00    0.00    0.00                 
 32.27 31.50  672.51    1.46 F2              
 32.27 29.30 1415.98    1.98 F2F2            
 32.27 25.10 2341.39    2.60 F2F2F2          
  0.00  0.00    0.00    0.00 E               
  0.00 29.30 1415.98    1.98 F2F2            
  0.00 25.10 2341.39    2.60 F2F2F2          
 55.39 54.46  358.88    3.69 F2              
 55.39 52.74  745.02    4.64 F2F2            
 55.39 49.92 1180.63    5.65 F2F2F2          
 27.19 26.55  783.17   -4.19 F2              
 27.19 24.32 1653.96   -3.68 F2F2            
 27.19 19.90 2776.60   -3.00 F2F2F2          
  0.00  0.00    0.00    0.00                 
  0.00 24.32 1653.96   -3.68 F2F2            
  0.00 19.90 2776.60   -3.00 F2F2F2          
 28.12 27.48  760.25   -3.98 F2              
 28.12 25.30 1602.91   -3.46 F2F2            
 28.12 20.99 2677.30   -2.78 F2F2F2          
 17.07 16.17 1164.73  -10.06 F2              
 17.07 13.10 2523.72   -9.57 F2F2            
 17.07  0.00    0.00    0.00                 
 25.78 25.05  821.97   -2.21 F2              
 25.78 22.59 1746.92   -1.72 F2F2            
 25.78 17.77 2979.92   -1.07 F2F2F2          
 20.11 19.31 1014.91   -6.05 F2              
 20.11 16.43 2186.80   -5.57 F2F2            
 20.11 10.79 3907.57   -4.85 F2F2F2          
 17.31 16.24 1157.73   -5.86 F2              
 17.31 12.74 2542.87   -5.39 F2F2            
 17.31  0.00    0.00    0.00                 
 28.03 27.37  762.96   -2.98 F2              
 28.03 25.12 1610.97   -2.47 F2F2            
 28.03 20.71 2699.11   -1.80 F2F2F2          
  0.00  0.00    0.00    0.00 E               
  0.00 25.12 1610.97   -2.47 F2F2            
  0.00 20.71 2699.11   -1.80 F2F2F2          
 17.17 16.00 1168.52   -4.16 F2              
 17.17 12.28 2585.68   -3.70 F2F2            
 17.17  0.00    0.00    0.00                 
 12.35 10.24 1533.33   -4.77 F2              
 12.35  0.00    0.00    0.00                 
 12.35  0.00    0.00    0.00                 
  0.00  0.00    0.00    0.00                 
  0.00  0.00    0.00    0.00                 
  0.00  0.00    0.00    0.00                 
 31.33 30.65  690.02   -1.75 F2              
 31.33 28.54 1450.41   -1.21 F2F2            
 31.33 24.43 2395.15   -0.54 F2F2F2          
 10.27  7.28 1799.12   -5.36 F2              
 10.27  0.00    0.00    0.00                 
 10.27 24.43 2395.15   -0.54 F2F2F2          
 54.64 53.72  366.56    3.66 F2              
 54.64 51.99  761.03    4.59 F2F2            
 54.64 49.14 1206.53    5.58 F2F2F2          
  4.04  1.43 2004.31   -7.52 E               
  4.04  0.00    0.00    0.00 EE              
  4.04 49.14 1206.53    5.58 F2F2F2          
 15.99 14.78 1236.17   -6.76 F2              
