
delt0=    0.01  eps=   1e-07  ep=   1e-05  ep1=   0.001
ισθοδξαρ τοώλα: fi0=  46.080  teta0=  33.870  year=2015
+==================================================================+
|    Transmitter   |     Reciever     | Path length | Path azimuth |
|==================+==================|    129.90   |    -95.524   |
|Longitude:  46.080|Longitude:  44.000|-------------+--------------|
|Latitude :  56.130|Latitude :  56.000| Month:  2.3 |   W     IG   |
|Power    : 1.0e+00|Passband :   1.000|   February  |  80.0  130.0 |
+==================================================================+

+======================================+
|Initial step: 0.010                   |
|Local accuracy: 0.0000001             |
|Range accuracy:  0.0100               |
|Range limits:   30.00                 |
|Elevation angle step: 0.15            |
|Azimuth   angle step: 1.00            |
+======================================+

Geomagnetic Field - const
fh= 1.50  i=  72.0  d=  10.6
Number TID: 1
Tid Parametres
  delt   lamb     t     b      a     fi
0.100   100.0 900.0 -45.0  125.0   0.000
Chapmen many-layers Ionospher model
Ionospher Begin Higth: 60.0
Number Layers: 2
Geometric Layer Parametres
  hm     ym     f0     al
110.0    5.0   2.00   1.00
265.0   50.0  10.80   1.00
Local Gradient  gx=0.00  gy=0.00

Number diff. equation: 8

+=================================================================================================++===============+
|            Ray characteristics                       GMT time:10:30:00.00                       ||  Polarization |
|-------------------------------------------------------------------------------------------------||---------------|
|  F   | |  d1  |  d2  |  T   |   Df  |  DEV  |  L   |  Ls  |  E   | Les |          Moda          ||  a/b |   psi  |
| 8.400|o| 73.59| 77.13| 1.744| -0.205| -5.338|   1.2|  56.8|  46.7|  0.0|F2                      || 0.988| -58.994|
| 8.400|x| 71.47| 75.80| 1.690| -0.206| -5.728|   1.5|  55.3|  48.0|  0.0|F2                      ||-0.987|  33.863|
| 8.500|o| 73.72| 77.17| 1.754| -0.200| -5.262|   1.3|  57.0|  46.6|  0.0|F2                      || 0.988| -59.086|
| 8.500|x| 71.56| 75.84| 1.698| -0.206| -5.701|   1.5|  55.4|  47.9|  0.0|F2                      ||-0.987|  33.771|
| 8.600|o| 73.85| 77.21| 1.764| -0.195| -5.181|   1.3|  57.1|  46.4|  0.0|F2                      || 0.988| -59.178|
| 8.600|x| 71.65| 75.89| 1.706| -0.205| -5.670|   1.5|  55.5|  47.8|  0.0|F2                      ||-0.987|  33.680|
| 8.700|o| 73.99| 77.25| 1.775| -0.189| -5.092|   1.3|  57.2|  46.3|  0.0|F2                      || 0.988| -59.269|
| 8.700|x| 71.74| 75.93| 1.714| -0.204| -5.636|   1.5|  55.6|  47.7|  0.0|F2                      ||-0.987|  33.591|
| 8.800|o| 74.13| 77.29| 1.786| -0.182| -4.997|   1.3|  57.4|  46.1|  0.0|F2                      || 0.988| -59.360|
| 8.800|x| 71.84| 75.97| 1.722| -0.203| -5.598|   1.5|  55.7|  47.5|  0.0|F2                      ||-0.988|  33.504|
| 8.900|o| 74.28| 77.33| 1.798| -0.175| -4.894|   1.3|  57.5|  45.9|  0.0|F2                      || 0.989| -59.450|
| 8.900|x| 71.94| 76.01| 1.730| -0.201| -5.556|   1.5|  55.8|  47.4|  0.0|F2                      ||-0.988|  33.418|
| 9.000|o| 74.43| 77.37| 1.809| -0.167| -4.784|   1.4|  57.7|  45.8|  0.0|F2                      || 0.989| -59.540|
| 9.000|x| 72.04| 76.05| 1.739| -0.199| -5.510|   1.5|  55.9|  47.3|  0.0|F2                      ||-0.988|  33.333|
| 9.100|o| 74.58| 77.41| 1.822| -0.158| -4.664|   1.4|  57.8|  45.6|  0.0|F2                      || 0.989| -59.628|
| 9.100|x| 72.14| 76.09| 1.748| -0.196| -5.460|   1.6|  56.1|  47.2|  0.0|F2                      ||-0.988|  33.251|
| 9.200|o| 74.75| 77.45| 1.835| -0.149| -4.535|   1.4|  58.0|  45.4|  0.0|F2                      || 0.989| -59.717|
| 9.200|x| 72.25| 76.13| 1.757| -0.193| -5.405|   1.6|  56.2|  47.1|  0.0|F2                      ||-0.988|  33.169|
| 9.300|o| 74.92| 77.49| 1.849| -0.138| -4.395|   1.4|  58.2|  45.2|  0.0|F2                      || 0.989| -59.804|
| 9.300|x| 72.36| 76.17| 1.766| -0.190| -5.346|   1.6|  56.3|  46.9|  0.0|F2                      ||-0.988|  33.090|
| 9.400|o| 75.10| 77.53| 1.863| -0.127| -4.243|   1.5|  58.4|  44.9|  0.0|F2                      || 0.989| -59.891|
| 9.400|x| 72.48| 76.20| 1.776| -0.187| -5.281|   1.6|  56.4|  46.8|  0.0|F2                      ||-0.989|  33.012|
| 9.500|o| 75.28| 77.56| 1.879| -0.114| -4.078|   1.5|  58.6|  44.7|  0.0|F2                      || 0.989| -59.978|
| 9.500|x| 72.59| 76.24| 1.786| -0.182| -5.211|   1.6|  56.5|  46.7|  0.0|F2                      ||-0.989|  32.935|
| 9.600|o| 75.48| 77.60| 1.895| -0.101| -3.899|   1.5|  58.8|  44.5|  0.0|F2                      || 0.990| -60.064|
| 9.600|x| 72.71| 76.27| 1.797| -0.178| -5.135|   1.6|  56.6|  46.5|  0.0|F2                      ||-0.989|  32.860|
| 9.700|o| 75.68| 77.64| 1.912| -0.086| -3.704|   1.6|  59.0|  44.2|  0.0|F2                      || 0.990| -60.150|
| 9.700|x| 72.84| 76.31| 1.808| -0.173| -5.053|   1.6|  56.8|  46.4|  0.0|F2                      ||-0.989|  32.787|
| 9.800|o| 75.90| 77.68| 1.931| -0.070| -3.491|   1.6|  59.3|  43.9|  0.0|F2                      || 0.990| -60.235|
| 9.800|x| 72.97| 76.34| 1.819| -0.167| -4.965|   1.7|  56.9|  46.2|  0.0|F2                      ||-0.989|  32.716|
| 9.900|o| 76.12| 77.71| 1.951| -0.052| -3.256|   1.7|  59.5|  43.6|  0.0|F2                      || 0.990| -60.320|
| 9.900|x| 73.10| 76.38| 1.831| -0.161| -4.871|   1.7|  57.0|  46.1|  0.0|F2                      ||-0.989|  32.646|
|10.000|o| 76.36| 77.75| 1.972| -0.032| -2.996|   1.7|  59.8|  43.3|  0.0|F2                      || 0.990| -60.404|
|10.000|x| 73.24| 76.41| 1.843| -0.154| -4.768|   1.7|  57.2|  45.9|  0.0|F2                      ||-0.989|  32.577|
|10.100|o| 76.62| 77.79| 1.996| -0.010| -2.710|   1.8|  60.1|  42.9|  0.0|F2                      || 0.990| -60.489|
|10.100|x| 73.38| 76.44| 1.856| -0.146| -4.658|   1.7|  57.3|  45.7|  0.0|F2                      ||-0.989|  32.511|
|10.200|o| 76.89| 77.82| 2.022|  0.014| -2.391|   1.8|  60.5|  42.5|  0.0|F2                      || 0.990| -60.573|
|10.200|x| 73.53| 76.47| 1.869| -0.137| -4.538|   1.8|  57.5|  45.5|  0.0|F2                      ||-0.990|  32.447|
|10.300|o| 77.19| 77.86| 2.050|  0.041| -2.032|   1.9|  60.9|  42.0|  0.0|F2                      || 0.990| -60.656|
|10.300|x| 73.69| 76.50| 1.884| -0.128| -4.408|   1.8|  57.7|  45.4|  0.0|F2                      ||-0.990|  32.385|
|10.400|o| 77.50| 77.90| 2.082|  0.070| -1.628|   2.0|  61.3|  41.5|  0.0|F2                      || 0.990| -60.741|
|10.400|x| 73.85| 76.52| 1.899| -0.118| -4.267|   1.8|  57.8|  45.1|  0.0|F2                      ||-0.990|  32.324|
|10.500|o| 77.85| 77.93| 2.119|  0.104| -1.165|   2.1|  61.8|  40.9|  0.0|F2                      || 0.991| -60.825|
|10.500|x| 74.02| 76.55| 1.915| -0.106| -4.114|   1.9|  58.0|  44.9|  0.0|F2                      ||-0.990|  32.267|
|10.600|o| 78.23| 77.97| 2.162|  0.141| -0.631|   2.2|  62.4|  40.2|  0.0|F2                      || 0.991| -60.909|
|10.600|x| 74.19| 76.58| 1.932| -0.094| -3.948|   1.9|  58.2|  44.7|  0.0|F2                      ||-0.990|  32.211|
|10.700|o| 78.65| 78.01| 2.212|  0.184| -0.005|   2.3|  63.2|  39.3|  0.0|F2                      || 0.991| -60.993|
|10.700|x| 74.38| 76.60| 1.950| -0.080| -3.767|   1.9|  58.4|  44.4|  0.0|F2                      ||-0.990|  32.158|
|10.800|o| 79.13| 78.04| 2.273|  0.233|  0.739|   2.5|  64.1|  38.2|  0.0|F2                      || 0.991| -61.081|
|10.800|x| 74.57| 76.63| 1.969| -0.065| -3.569|   2.0|  58.6|  44.2|  0.0|F2                      ||-0.990|  32.107|
|10.900|o| 79.67| 78.08| 2.351|  0.291|  1.644|   2.7|  65.2|  36.9|  0.0|F2                      || 0.991| -61.174|
|10.900|x| 74.78| 76.65| 1.990| -0.048| -3.351|   2.0|  58.9|  43.9|  0.0|F2                      ||-0.990|  32.060|
|11.000|o| 80.31| 78.13| 2.456|  0.359|  2.776|   3.0|  66.9|  34.9|  0.0|F2                      || 0.991| -61.274|
|11.000|x| 75.00| 76.67| 2.013| -0.030| -3.109|   2.1|  59.1|  43.6|  0.0|F2                      ||-0.990|  32.016|
|11.100|o| 74.59| 81.39| 2.922| -1.957|-20.161|   4.0|  59.7|  41.2|  0.0|F2                      || 0.992| -69.495|
|11.100|x| 75.23| 76.69| 2.039| -0.009| -2.841|   2.2|  59.4|  43.2|  0.0|F2                      ||-0.991|  31.974|
|11.200|x| 75.48| 76.70| 2.067|  0.014| -2.542|   2.2|  59.8|  42.8|  0.0|F2                      ||-0.991|  31.937|
|11.300|x| 75.76| 76.72| 2.098|  0.040| -2.204|   2.3|  60.1|  42.4|  0.0|F2                      ||-0.991|  31.905|
|11.400|x| 76.05| 76.73| 2.134|  0.069| -1.818|   2.4|  60.5|  41.9|  0.0|F2                      ||-0.991|  31.877|
|11.500|x| 76.38| 76.74| 2.176|  0.103| -1.374|   2.5|  61.0|  41.3|  0.0|F2                      ||-0.991|  31.854|
|11.600|x| 76.75| 76.75| 2.226|  0.142| -0.850|   2.7|  61.6|  40.5|  0.0|F2                      ||-0.991|  31.837|
|11.700|x| 77.17| 76.75| 2.287|  0.188| -0.222|   2.8|  62.4|  39.6|  0.0|F2                      ||-0.991|  31.826|
