
delt0=    0.01  eps=   1e-07  ep=   1e-05  ep1=   0.001
ισθοδξαρ τοώλα: fi0=  46.080  teta0=  33.870  year=2015
+==================================================================+
|    Transmitter   |     Reciever     | Path length | Path azimuth |
|==================+==================|    129.90   |    -95.524   |
|Longitude:  46.080|Longitude:  44.000|-------------+--------------|
|Latitude :  56.130|Latitude :  56.000| Month:  2.3 |   W     IG   |
|Power    : 1.0e+00|Passband :   1.000|   February  |  80.0  130.0 |
+==================================================================+

+======================================+
|Initial step: 0.010                   |
|Local accuracy: 0.0000001             |
|Range accuracy:  0.0100               |
|Range limits:   30.00                 |
|Elevation angle step: 0.15            |
|Azimuth   angle step: 1.00            |
+======================================+

Geomagnetic Field - const
fh= 1.50  i=  72.0  d=  10.6
Number TID: 1
Tid Parametres
  delt   lamb     t     b      a     fi
0.100   100.0 900.0 -45.0   45.0   0.000
Chapmen many-layers Ionospher model
Ionospher Begin Higth: 60.0
Number Layers: 2
Geometric Layer Parametres
  hm     ym     f0     al
110.0    5.0   2.00   1.00
265.0   50.0  10.80   1.00
Local Gradient  gx=0.00  gy=0.00

Number diff. equation: 8

+=================================================================================================++===============+
|            Ray characteristics                       GMT time:10:30:00.00                       ||  Polarization |
|-------------------------------------------------------------------------------------------------||---------------|
|  F   | |  d1  |  d2  |  T   |   Df  |  DEV  |  L   |  Ls  |  E   | Les |          Moda          ||  a/b |   psi  |
| 8.100|x| 71.30| 75.59| 1.668| -0.185|  5.219|   1.5|  55.2|  48.1|  0.0|F2                      ||-0.986|  34.293|
| 8.200|o| 73.28| 77.14| 1.725| -0.215|  5.531|   1.2|  56.7|  46.9|  0.0|F2                      || 0.987| -59.018|
| 8.200|x| 71.39| 75.63| 1.675| -0.185|  5.193|   1.5|  55.3|  48.0|  0.0|F2                      ||-0.986|  34.205|
| 8.300|o| 73.40| 77.18| 1.734| -0.212|  5.479|   1.2|  56.8|  46.8|  0.0|F2                      || 0.988| -59.109|
| 8.300|x| 71.48| 75.67| 1.683| -0.184|  5.163|   1.5|  55.4|  47.9|  0.0|F2                      ||-0.987|  34.119|
| 8.400|o| 73.52| 77.22| 1.744| -0.208|  5.423|   1.2|  56.9|  46.6|  0.0|F2                      || 0.988| -59.200|
| 8.400|x| 71.57| 75.72| 1.690| -0.183|  5.130|   1.5|  55.5|  47.8|  0.0|F2                      ||-0.987|  34.034|
| 8.500|o| 73.65| 77.26| 1.754| -0.203|  5.363|   1.3|  57.1|  46.5|  0.0|F2                      || 0.988| -59.289|
| 8.500|x| 71.67| 75.76| 1.698| -0.182|  5.094|   1.5|  55.6|  47.7|  0.0|F2                      ||-0.987|  33.952|
| 8.600|o| 73.78| 77.30| 1.764| -0.198|  5.299|   1.3|  57.2|  46.3|  0.0|F2                      || 0.988| -59.378|
| 8.600|x| 71.77| 75.79| 1.706| -0.180|  5.054|   1.5|  55.7|  47.6|  0.0|F2                      ||-0.987|  33.871|
| 8.700|o| 73.91| 77.34| 1.775| -0.193|  5.230|   1.3|  57.3|  46.2|  0.0|F2                      || 0.988| -59.466|
| 8.700|x| 71.87| 75.83| 1.714| -0.179|  5.011|   1.5|  55.8|  47.5|  0.0|F2                      ||-0.987|  33.792|
| 8.800|o| 74.05| 77.38| 1.786| -0.187|  5.156|   1.3|  57.5|  46.0|  0.0|F2                      || 0.988| -59.554|
| 8.800|x| 71.97| 75.87| 1.722| -0.176|  4.963|   1.5|  55.9|  47.4|  0.0|F2                      ||-0.988|  33.716|
| 8.900|o| 74.19| 77.42| 1.797| -0.181|  5.078|   1.3|  57.6|  45.8|  0.0|F2                      || 0.989| -59.642|
| 8.900|x| 72.07| 75.91| 1.731| -0.174|  4.911|   1.5|  56.0|  47.3|  0.0|F2                      ||-0.988|  33.641|
| 9.000|o| 74.34| 77.45| 1.809| -0.174|  4.994|   1.4|  57.8|  45.7|  0.0|F2                      || 0.989| -59.730|
| 9.000|x| 72.18| 75.94| 1.740| -0.171|  4.854|   1.6|  56.1|  47.2|  0.0|F2                      ||-0.988|  33.567|
| 9.100|o| 74.49| 77.49| 1.821| -0.166|  4.901|   1.4|  57.9|  45.5|  0.0|F2                      || 0.989| -59.814|
| 9.100|x| 72.29| 75.97| 1.749| -0.168|  4.793|   1.6|  56.2|  47.0|  0.0|F2                      ||-0.988|  33.496|
| 9.200|o| 74.65| 77.53| 1.834| -0.158|  4.803|   1.4|  58.1|  45.3|  0.0|F2                      || 0.989| -59.900|
| 9.200|x| 72.41| 76.01| 1.758| -0.164|  4.727|   1.6|  56.3|  46.9|  0.0|F2                      ||-0.988|  33.427|
| 9.300|o| 74.81| 77.57| 1.848| -0.149|  4.698|   1.4|  58.3|  45.1|  0.0|F2                      || 0.989| -59.985|
| 9.300|x| 72.52| 76.04| 1.767| -0.160|  4.656|   1.6|  56.4|  46.8|  0.0|F2                      ||-0.988|  33.359|
| 9.400|o| 74.98| 77.61| 1.862| -0.139|  4.589|   1.5|  58.4|  44.9|  0.0|F2                      || 0.989| -60.072|
| 9.400|x| 72.64| 76.07| 1.777| -0.155|  4.580|   1.6|  56.5|  46.7|  0.0|F2                      ||-0.988|  33.294|
| 9.500|o| 75.16| 77.64| 1.877| -0.128|  4.469|   1.5|  58.6|  44.7|  0.0|F2                      || 0.989| -60.158|
| 9.500|x| 72.77| 76.10| 1.788| -0.150|  4.498|   1.6|  56.7|  46.5|  0.0|F2                      ||-0.989|  33.230|
| 9.600|o| 75.34| 77.68| 1.893| -0.116|  4.341|   1.5|  58.8|  44.4|  0.0|F2                      || 0.990| -60.245|
| 9.600|x| 72.90| 76.13| 1.798| -0.145|  4.410|   1.6|  56.8|  46.4|  0.0|F2                      ||-0.989|  33.169|
| 9.700|o| 75.53| 77.72| 1.910| -0.103|  4.198|   1.6|  59.1|  44.2|  0.0|F2                      || 0.990| -60.324|
| 9.700|x| 73.03| 76.16| 1.809| -0.138|  4.316|   1.7|  56.9|  46.2|  0.0|F2                      ||-0.989|  33.110|
| 9.800|o| 75.73| 77.75| 1.928| -0.090|  4.053|   1.6|  59.3|  43.9|  0.0|F2                      || 0.990| -60.414|
| 9.800|x| 73.16| 76.18| 1.821| -0.132|  4.215|   1.7|  57.1|  46.1|  0.0|F2                      ||-0.989|  33.052|
| 9.900|o| 75.94| 77.79| 1.948| -0.074|  3.891|   1.7|  59.5|  43.6|  0.0|F2                      || 0.990| -60.498|
| 9.900|x| 73.30| 76.21| 1.833| -0.124|  4.106|   1.7|  57.2|  45.9|  0.0|F2                      ||-0.989|  32.997|
|10.000|o| 76.17| 77.83| 1.969| -0.058|  3.721|   1.7|  59.8|  43.3|  0.0|F2                      || 0.990| -60.587|
|10.000|x| 73.45| 76.24| 1.845| -0.116|  3.990|   1.7|  57.4|  45.7|  0.0|F2                      ||-0.989|  32.944|
|10.100|o| 76.40| 77.87| 1.991| -0.040|  3.535|   1.8|  60.1|  42.9|  0.0|F2                      || 0.990| -60.674|
|10.100|x| 73.60| 76.26| 1.858| -0.107|  3.862|   1.7|  57.5|  45.5|  0.0|F2                      ||-0.989|  32.895|
|10.200|o| 76.65| 77.91| 2.016| -0.021|  3.333|   1.8|  60.4|  42.6|  0.0|F2                      || 0.990| -60.764|
|10.200|x| 73.76| 76.28| 1.872| -0.097|  3.724|   1.8|  57.7|  45.3|  0.0|F2                      ||-0.989|  32.848|
|10.300|o| 76.91| 77.95| 2.043|  0.001|  3.112|   1.9|  60.8|  42.2|  0.0|F2                      || 0.990| -60.853|
|10.300|x| 73.92| 76.30| 1.887| -0.086|  3.575|   1.8|  57.9|  45.1|  0.0|F2                      ||-0.990|  32.804|
|10.400|o| 77.20| 77.99| 2.074|  0.025|  2.875|   2.0|  61.1|  41.7|  0.0|F2                      || 0.991| -60.946|
|10.400|x| 74.09| 76.32| 1.902| -0.075|  3.418|   1.8|  58.0|  44.9|  0.0|F2                      ||-0.990|  32.761|
|10.500|o| 77.50| 78.03| 2.108|  0.051|  2.620|   2.1|  61.6|  41.2|  0.0|F2                      || 0.991| -61.045|
|10.500|x| 74.27| 76.34| 1.918| -0.062|  3.241|   1.9|  58.2|  44.7|  0.0|F2                      ||-0.990|  32.724|
|10.600|o| 77.83| 78.07| 2.147|  0.079|  2.341|   2.2|  62.1|  40.6|  0.0|F2                      || 0.991| -61.147|
|10.600|x| 74.46| 76.36| 1.936| -0.048|  3.055|   1.9|  58.4|  44.5|  0.0|F2                      ||-0.990|  32.687|
|10.700|o| 78.18| 78.12| 2.193|  0.111|  2.037|   2.3|  62.6|  39.9|  0.0|F2                      || 0.991| -61.255|
|10.700|x| 74.65| 76.37| 1.954| -0.032|  2.846|   2.0|  58.6|  44.2|  0.0|F2                      ||-0.990|  32.658|
|10.800|o| 78.58| 78.17| 2.248|  0.147|  1.712|   2.4|  63.3|  39.1|  0.0|F2                      || 0.991| -61.375|
|10.800|x| 74.86| 76.38| 1.974| -0.015|  2.621|   2.0|  58.9|  43.9|  0.0|F2                      ||-0.990|  32.629|
|10.900|o| 79.02| 78.23| 2.316|  0.187|  1.369|   2.6|  64.1|  38.1|  0.0|F2                      || 0.991| -61.510|
|10.900|x| 75.08| 76.39| 1.996|  0.004|  2.372|   2.1|  59.1|  43.6|  0.0|F2                      ||-0.990|  32.605|
|11.000|o| 79.52| 78.29| 2.404|  0.233|  1.023|   2.8|  65.2|  36.8|  0.0|F2                      || 0.991| -61.670|
|11.000|x| 75.32| 76.40| 2.020|  0.025|  2.092|   2.1|  59.4|  43.3|  0.0|F2                      ||-0.990|  32.592|
|11.100|o| 72.63| 79.20| 2.909| -2.315| 24.632|   3.9|  63.4|  37.5|  0.0|F2                      || 0.992| -63.855|
|11.100|x| 75.57| 76.41| 2.046|  0.048|  1.785|   2.2|  59.7|  42.9|  0.0|F2                      ||-0.990|  32.578|
|11.200|o| 71.51| 77.44| 3.038| -2.572| 30.609|   4.2|  65.8|  34.9|  0.0|F2                      || 0.991| -59.698|
|11.200|x| 75.83| 76.41| 2.075|  0.074|  1.438|   2.3|  60.1|  42.4|  0.0|F2                      ||-0.990|  32.572|
|11.300|x| 76.13| 76.41| 2.108|  0.103|  1.042|   2.3|  60.5|  42.0|  0.0|F2                      ||-0.991|  32.577|
|11.400|x| 76.45| 76.40| 2.146|  0.136|  0.591|   2.5|  61.0|  41.4|  0.0|F2                      ||-0.991|  32.585|
|11.500|x| 76.80| 76.39| 2.190|  0.174|  0.059|   2.6|  61.5|  40.7|  0.0|F2                      ||-0.991|  32.609|
|11.600|x| 77.20| 76.38| 2.244|  0.219| -0.567|   2.7|  62.2|  39.9|  0.0|F2                      ||-0.991|  32.640|
