  8.18 13.61 3022.94   93.53 F2F2            
  8.18  0.00    0.00    0.00                 
 19.43 23.61 1197.63   93.88 F2              
 19.43 25.81 2157.75   93.64 F2F2            
 19.43 26.38 3044.58   93.58 F2F2F2          
 10.72 14.87 1542.44   97.46 F2              
 10.72 16.11 2749.88   97.41 F2F2            
 10.72 15.88 3931.80   97.46 F2F2F2          
 20.35 24.60 1178.36   94.25 F2              
 20.35 26.86 2122.28   93.98 F2F2            
 20.35 27.46 2993.23   93.91 F2F2F2          
  0.22  6.23 2534.18   93.86 F2              
  0.22  0.00    0.00    0.00                 
  0.22 27.46 2993.23   93.91 F2F2F2          
 13.23 17.31 1408.83   95.49 F2              
 13.23 18.91 2522.67   95.40 F2F2            
 13.23 18.90 3583.69   95.43 F2F2F2          
  0.00  0.00    0.00    0.00                 
  0.00 18.91 2522.67   95.40 F2F2            
  0.00 18.90 3583.69   95.43 F2F2F2          
 15.60 19.66 1308.29   95.23 F2              
 15.60 21.49 2352.74   95.09 F2F2            
 15.60 21.68 3334.63   95.10 F2F2F2          
 10.73 14.84 1538.80   99.87 F2              
 10.73 15.99 2752.05   99.84 F2F2            
 10.73 15.72 3951.44   99.90 F2F2F2          
 22.85 27.38 1162.45   90.76 F2              
 22.85 29.91 2078.94   90.34 F2F2            
 22.85 30.79 2914.65   90.16 F2F2F2          
 11.74 15.86 1484.91   94.82 F2              
 11.74 17.31 2648.00   94.75 F2F2            
 11.74 17.20 3765.53   94.79 F2F2F2          
 20.62 24.80 1181.58   88.77 F2              
 20.62 27.23 2127.22   88.41 F2F2            
 20.62 28.09 2988.71   88.26 F2F2F2          
 16.35 20.41 1279.88   95.61 F2              
 16.35 22.28 2305.02   95.47 F2F2            
 16.35 22.52 3267.28   95.47 F2F2F2          
  9.36 13.59 1630.53   94.76 F2              
  9.36 14.75 2886.91   94.72 F2F2            
  9.36 14.48 4120.98   94.77 F2F2F2          
 20.25 24.44 1180.88   92.03 F2              
 20.25 26.75 2127.86   91.74 F2F2            
 20.25 27.43 2997.99   91.64 F2F2F2          
 12.33 16.42 1452.55   94.81 F2              
 12.33 17.93 2595.09   94.73 F2F2            
 12.33 17.86 3688.55   94.77 F2F2F2          
  0.00  0.00    0.00    0.00                 
  0.00 17.93 2595.09   94.73 F2F2            
  0.00 17.86 3688.55   94.77 F2F2F2          
 11.00 15.11 1522.83   97.86 F2              
 11.00 16.35 2719.98   97.81 F2F2            
 11.00 16.11 3892.92   97.87 F2F2F2          
 10.69 14.83 1543.21   95.65 F2              
 10.69 16.12 2747.38   95.60 F2F2            
 10.69 15.90 3920.00   95.64 F2F2F2          
  0.00  0.00    0.00    0.00                 
  0.00 16.12 2747.38   95.60 F2F2            
  0.00 15.90 3920.00   95.64 F2F2F2          
 14.62 18.66 1346.65   94.05 F2              
 14.62 20.43 2417.23   93.92 F2F2            
 14.62 20.58 3425.31   93.94 F2F2F2          
 20.02 24.14 1190.16   88.70 F2              
 20.02 26.52 2144.61   88.37 F2F2            
 20.02 27.33 3015.34   88.23 F2F2F2          
 22.65 27.14 1153.50   92.82 F2              
 22.65 29.58 2067.85   92.45 F2F2            
 22.65 30.35 2906.25   92.31 F2F2F2          
 11.03 15.16 1524.35   93.83 F2              
 11.03 16.56 2711.43   93.76 F2F2            
 11.03 16.41 3855.30   93.80 F2F2F2          
